LSOA21CD,LSOA21NM,LSOA21LN,IMDScore,Income,Employment,EducationScore,CrimeScore,LivingEnvironmentScore,POP2022Total,Period_Total_Crimes,Crime_Rate
E01014674,Bristol 027B,Burchells Green,22.04,24.9,14.1,32.1,0.3,17.9,1749,147,84.04802744425385
E01014485,Bristol 058A,Mina Road,21.1,22.1,11.1,22.6,0.3,48.5,1975,208,105.31645569620252
E01014486,Bristol 058C,St Agnes,35.23,32.8,19.0,25.5,1.4,46.8,2759,383,138.8184124682856
E01014487,Bristol 020A,Cromwell Road,8.32,7.7,5.5,1.0,-0.1,43.8,2038,80,39.25417075564279
E01014488,Bristol 058B,Upper Montpelier,17.9,21.4,12.9,11.0,0.4,33.4,2108,219,103.8899430740038
E01014489,Bristol 059A,Lower Montpelier,27.15,25.6,15.1,23.4,1.2,33.5,2550,428,167.84313725490196
E01014491,Bristol 020B,Ashley Hill,10.1,9.2,7.1,4.4,0.1,42.0,2007,144,71.74887892376681
E01014492,Bristol 008A,Shirehampton Centre,37.66,36.4,21.5,60.3,0.8,18.8,1670,226,135.32934131736528
E01014493,Bristol 008B,Barrow Hill,33.66,30.8,19.4,47.6,0.9,24.6,1630,179,109.8159509202454
E01014494,Bristol 008C,Shirehampton Portway,11.69,11.9,7.9,14.8,0.0,27.4,1565,110,70.28753993610223
E01014495,Bristol 008D,Woodwell Road,18.64,19.0,12.8,24.5,0.1,22.9,1802,109,60.48834628190899
E01014497,Bristol 003A,Lawrence Weston West,38.71,40.2,21.2,55.8,1.1,15.5,1742,235,134.902411021814
E01014499,Bristol 008F,Avonmouth Village,31.01,28.7,18.4,48.7,0.1,26.7,1676,170,101.43198090692124
E01014500,Bristol 039A,Parson Street,14.24,13.9,7.7,13.8,0.3,36.0,1872,124,66.23931623931624
E01014501,Bristol 041A,Ashton Vale,28.55,28.8,18.5,56.6,0.0,6.4,2148,112,52.1415270018622
E01014502,Bristol 039B,Bedminster Road,24.52,27.5,14.6,35.8,0.6,17.4,2033,147,72.30693556320708
E01014504,Bristol 041B,Luckwell Road,8.18,6.6,4.6,3.6,-0.7,46.7,1578,45,28.517110266159698
E01014505,Bristol 041C,Chessel Street,9.77,8.7,4.3,7.8,-0.4,46.6,1797,55,30.606566499721758
E01014506,Bristol 041D,Winterstoke Road,9.12,10.1,7.6,13.3,0.0,19.1,1667,141,84.58308338332334
E01014507,Bristol 016A,Seymour Road,6.22,5.2,2.7,1.1,-1.0,44.4,1907,81,42.47509176717357
E01014508,Bristol 016B,Cricket Ground,8.71,5.3,4.0,1.2,0.9,33.8,1657,206,124.32106216053108
E01014509,Bristol 016C,Ashley Down,5.76,7.4,4.1,4.8,-0.6,26.5,2586,195,75.40603248259862
E01014510,Bristol 010A,Memorial Stadium,7.38,7.2,5.3,1.3,-0.2,35.2,2189,67,30.60758337140247
E01014511,Bristol 016D,Bishop Road,6.38,5.1,4.5,0.3,-0.6,38.1,1432,60,41.89944134078212
E01014512,Bristol 016E,Somerville Road,8.07,9.4,5.6,1.6,-0.4,40.3,1534,131,85.39765319426336
E01014513,Bristol 016F,St Bonaventures,3.25,3.2,2.8,0.1,-1.1,27.0,1627,37,22.741241548862938
E01014514,Bristol 016G,Radnor Road,15.75,7.9,8.2,3.9,0.4,38.6,2251,114,50.64415815193247
E01014515,Bristol 050A,Highridge Common,33.55,29.8,19.3,57.8,0.9,19.6,1518,166,109.3544137022398
E01014516,Bristol 050B,Four Acres,63.44,57.0,34.9,77.1,1.4,11.9,1491,179,120.05365526492287
E01014517,Bristol 050C,Sherrin Way,48.89,49.1,26.2,76.9,0.8,4.6,1299,149,114.7036181678214
E01014518,Bristol 046A,Ilchester Crescent,13.97,15.5,9.6,16.6,0.1,23.2,1797,110,61.213132999443516
E01014519,Bristol 046B,Bedminster Down,18.3,20.8,12.5,34.2,-0.3,18.3,1391,76,54.636951833213516
E01014520,Bristol 046C,Bridgwater Road,6.92,8.9,7.0,18.8,-0.9,12.5,1695,78,46.017699115044245
E01014521,Bristol 046D,Kings Head Park,16.28,16.3,11.5,24.1,0.3,12.1,1436,84,58.4958217270195
E01014522,Bristol 050D,Highridge,36.69,35.3,21.7,59.9,0.9,7.5,1863,123,66.02254428341385
E01014523,Bristol 038A,Allison Road,17.3,18.3,13.4,16.3,0.1,11.7,1649,109,66.1006670709521
E01014524,Bristol 038B,Birchwood Road,14.46,13.0,10.0,26.2,0.2,16.7,1656,102,61.594202898550726
E01014525,Bristol 038C,Manworthy Road,8.34,10.4,7.0,7.0,-0.6,27.9,1631,77,47.21030042918455
E01014526,Bristol 038D,Broomhill Road,35.6,38.7,22.3,54.9,0.4,16.9,1617,343,212.12121212121212
E01014527,Bristol 038E,School Road,20.73,19.0,14.1,13.4,0.4,37.8,1387,130,93.72746935832733
E01014528,Bristol 035A,Newbridge Road,13.12,14.5,9.2,9.8,0.0,27.5,1590,163,102.51572327044026
E01014529,Bristol 035B,St Annes Park,35.37,36.7,20.4,56.9,0.8,12.5,1481,145,97.90681971640782
E01014530,Bristol 035C,Wootton Road,14.8,17.1,10.6,13.8,0.1,10.1,1463,93,63.568010936431996
E01014531,Bristol 035D,Sandy Park Road,8.9,9.9,5.6,5.6,0.2,25.3,2106,167,79.29724596391263
E01014532,Bristol 035E,Sandholme Road,12.03,15.4,7.7,14.3,-0.3,25.3,1501,52,34.643570952698205
E01014533,Bristol 043A,Bath Road,12.84,12.3,7.4,8.1,0.4,40.6,1595,111,69.5924764890282
E01014534,Bristol 043B,Kensington Park,15.99,10.4,7.6,5.3,1.2,34.5,1664,182,109.375
E01014535,Bristol 043C,Callington Road,9.77,10.9,7.3,10.6,0.3,27.4,2020,523,258.91089108910893
E01014536,Bristol 043D,Hicks Gate,33.03,29.8,21.8,36.1,0.9,13.6,1658,298,179.73462002412546
E01014537,Bristol 035F,Eldonwall,17.89,23.1,12.2,22.5,-0.1,13.2,1827,97,53.092501368363436
E01014538,Bristol 060A,Woodland Road,8.08,3.7,1.7,3.4,-0.9,53.1,1961,89,45.385007649158595
E01014539,Bristol 025A,Kingsdown Parade,8.02,6.7,4.7,3.7,-0.3,43.3,1932,284,146.99792960662526
E01014544,Bristol 030A,Clifton Down,4.54,2.9,1.9,7.9,-1.0,33.5,1182,96,81.21827411167511
E01014545,Bristol 030B,Clifton College,4.74,5.0,3.2,3.4,-0.9,35.8,1848,79,42.748917748917755
E01014546,Bristol 030C,Clifton Central,6.11,2.9,2.7,3.9,-0.4,38.4,1576,130,82.48730964467005
E01014547,Bristol 030D,Clifton Village,4.64,4.0,2.9,1.4,-0.7,37.4,1672,68,40.66985645933014
E01014548,Bristol 034A,Hotwells,15.79,12.9,7.9,7.2,0.8,46.9,1634,150,91.79926560587515
E01014549,Bristol 034B,Cliftonwood,23.02,21.5,10.2,10.1,0.6,57.4,1125,106,94.22222222222221
E01014550,Bristol 034C,Hotwells East,4.46,3.7,3.2,1.6,-0.2,27.7,2235,117,52.348993288590606
E01014551,Bristol 026A,Oakfield Grove,11.21,6.1,2.8,8.8,-0.3,57.2,1777,157,88.35115362971301
E01014552,Bristol 026B,Alma Road,4.43,2.9,2.2,0.2,-0.9,36.0,1852,142,76.67386609071274
E01014553,Bristol 026C,Whatley Road,5.64,2.7,1.6,5.1,-0.4,39.8,1966,109,55.442522889114954
E01014554,Bristol 026D,Queens Road,8.45,5.9,2.8,11.0,0.2,38.8,1932,188,97.30848861283643
E01014555,Bristol 034D,Lower Clifton Hill,11.89,7.7,4.1,15.1,-0.4,37.7,2063,57,27.629665535627726
E01014556,Bristol 026E,Worral Road,6.4,5.6,3.8,0.9,-0.9,47.5,1836,86,46.84095860566448
E01014557,Bristol 022A,Cotham Park,6.54,4.3,3.6,0.7,-0.5,43.8,1687,81,48.01422643746295
E01014558,Bristol 022B,Cotham Hill,10.92,6.3,3.9,15.3,-0.2,46.9,1853,119,64.22018348623854
E01014559,Bristol 022C,Lower Redland Road,5.89,5.1,3.6,2.0,-0.9,42.7,2010,89,44.27860696517413
E01014560,Bristol 022D,Clyde Road,6.05,4.5,3.7,0.5,-0.6,42.4,1639,92,56.131787675411836
E01014561,Bristol 025C,Redland Grove,7.85,6.2,3.3,1.6,-0.7,52.5,1716,86,50.11655011655012
E01014562,Bristol 022E,Kensington Road,11.28,4.7,3.3,2.1,0.3,57.0,1686,53,31.43534994068802
E01014563,Bristol 025D,Cotham Brow,13.04,8.6,5.3,4.8,0.9,48.1,1885,152,80.63660477453581
E01014564,Bristol 055A,Chelsea Park,25.75,29.8,13.9,24.7,0.9,43.1,1906,174,91.2906610703043
E01014565,Bristol 029A,Gilbert Road,28.49,29.7,16.2,16.2,0.7,49.8,1765,154,87.25212464589235
E01014566,Bristol 029B,Church Road,27.14,24.2,12.2,28.9,0.7,45.7,1669,178,106.65068903535051
E01014567,Bristol 029C,Netham,21.7,19.3,12.1,19.3,0.7,47.2,1922,167,86.88865764828303
E01014568,Bristol 057A,St Marks Road,38.12,32.5,20.2,35.5,1.6,56.9,2639,385,145.88859416445624
E01014569,Bristol 057B,Robertson Road,27.15,23.6,14.7,27.6,0.9,53.1,2289,297,129.75098296199215
E01014570,Bristol 057C,Whitehall,16.99,19.0,10.4,15.1,0.1,38.7,2015,124,61.53846153846154
E01014571,Bristol 012A,Whitefield Fishponds,24.21,25.9,16.6,19.4,0.6,20.1,1746,256,146.6208476517755
E01014572,Bristol 019A,Fishponds Road,26.88,24.0,14.6,15.7,1.2,40.7,2046,272,132.94232649071358
E01014573,Bristol 019B,Upper Eastville,14.88,15.0,10.0,12.8,0.4,33.1,2014,164,81.42999006951341
E01014574,Bristol 057D,Greenbank,38.01,39.9,20.1,39.3,1.1,44.6,2310,358,154.97835497835496
E01014575,Bristol 019C,Eastville Park,30.15,28.6,17.7,26.2,1.2,41.9,1550,338,218.06451612903228
E01014576,Bristol 019D,Rose Green,18.54,20.3,13.0,18.9,0.6,20.9,2208,155,70.19927536231884
E01014577,Bristol 012B,Stapleton,11.13,11.3,6.8,15.7,-0.2,35.1,1688,106,62.796208530805686
E01014578,Bristol 044A,Wedmore Vale,29.97,33.0,19.2,42.2,0.7,13.4,1849,111,60.032449972958354
E01014579,Bristol 045A,Novers,27.28,28.4,17.3,33.0,0.6,16.9,1518,151,99.47299077733861
E01014580,Bristol 045B,Inns Court,62.52,50.8,36.5,77.2,1.4,16.4,1570,236,150.3184713375796
E01014581,Bristol 045C,Filwood Broadway,65.28,57.4,34.3,77.4,1.7,12.7,1623,365,224.89217498459644
E01014582,Bristol 045D,Leinster Avenue,45.84,49.2,26.7,67.4,0.8,10.0,1383,193,139.55169920462762
E01014583,Bristol 044B,Throgmorton Road,45.39,45.2,23.8,70.7,1.2,9.7,1848,167,90.36796536796535
E01014584,Bristol 045E,Glyn Vale,48.57,47.6,27.1,78.9,0.9,6.6,1476,124,84.01084010840108
E01014585,Bristol 044C,Ilminster Avenue West,60.44,61.1,28.3,78.4,1.4,11.8,1997,312,156.23435152729093
E01014586,Bristol 012C,Oldbury Court,18.29,17.5,12.6,25.0,0.5,15.1,1512,136,89.94708994708994
E01014587,Bristol 012D,Broomhill,22.11,21.1,13.7,25.8,0.4,17.8,1846,119,64.46370530877574
E01014588,Bristol 013A,Blackberry Hill,22.95,21.6,14.5,21.7,0.9,17.5,2570,548,213.22957198443578
E01014589,Bristol 013B,Gill Avenue,52.58,54.6,32.5,49.5,1.1,8.9,1601,148,92.4422236102436
E01014590,Bristol 013C,Fishponds,20.88,22.2,12.2,21.6,1.0,20.4,2436,460,188.8341543513957
E01014591,Bristol 013D,Downend West,11.58,15.0,10.0,12.2,0.0,11.1,1987,93,46.804227478610976
E01014592,Bristol 013E,Staple Hill Road North,17.41,19.2,11.6,14.8,0.1,29.7,1743,201,115.3184165232358
E01014593,Bristol 051A,Fulford Road North,68.21,64.7,38.5,77.6,1.8,4.4,1559,216,138.55035279025014
E01014594,Bristol 048A,Whitchurch Lane,65.46,60.8,37.8,73.4,1.7,12.7,1690,370,218.93491124260356
E01014595,Bristol 051B,Withywood,37.8,35.7,24.2,54.3,1.1,11.9,1457,206,141.38641043239534
E01014596,Bristol 051C,Fair Furlong,47.95,44.9,27.6,69.7,1.2,6.6,1638,215,131.25763125763126
E01014597,Bristol 051D,Bishport Avenue West,55.88,45.5,33.0,78.8,1.6,6.9,1409,252,178.85024840312278
E01014598,Bristol 048B,Imperial Park,6.93,6.7,4.4,13.6,0.4,10.6,2217,390,175.91339648173206
E01014599,Bristol 048C,Headley Park,11.48,11.7,7.6,23.7,0.1,20.8,1298,83,63.94453004622497
E01014600,Bristol 048D,Whitchurch Road,23.82,22.7,13.8,37.0,0.7,18.1,1496,121,80.88235294117648
E01014601,Bristol 001A,Brentry West,23.95,27.6,16.0,29.0,0.3,9.0,1872,214,114.31623931623932
E01014602,Bristol 001B,Henbury,34.83,36.2,21.6,43.0,1.2,14.3,2017,290,143.77788795240457
E01014603,Bristol 001C,Brentry East,19.14,23.5,14.2,23.4,0.2,3.2,2655,176,66.29001883239172
E01014605,Bristol 001E,Crow Lane,53.76,49.6,30.1,58.2,1.4,16.9,1842,325,176.4386536373507
E01014607,Bristol 047A,Hengrove Park,21.63,23.0,10.6,26.4,1.5,8.5,1746,345,197.59450171821305
E01014608,Bristol 047B,Hengrove West,36.3,37.0,23.1,46.8,1.1,9.2,1837,239,130.10342950462712
E01014609,Bristol 047C,Two Acres,28.75,27.8,16.7,47.9,0.7,12.9,1829,122,66.70311645708037
E01014610,Bristol 047D,Wharnecliffe Gardens,34.07,33.9,18.9,50.7,0.8,10.2,1561,98,62.780269058295964
E01014611,Bristol 052A,Fortfield West,15.35,16.7,13.5,19.0,0.2,9.7,1469,131,89.17631041524847
E01014612,Bristol 052B,Fortfield East,20.83,23.6,14.1,33.3,0.4,12.0,1535,72,46.90553745928339
E01014613,Bristol 047E,Hengrove Lane,14.13,14.9,9.1,21.8,0.0,24.4,1564,85,54.34782608695652
E01014614,Bristol 047F,Hengrove East,13.43,14.4,10.3,21.4,0.1,10.1,1396,100,71.63323782234957
E01014615,Bristol 011A,Golden Hill,1.95,4.3,4.0,0.5,-1.4,15.2,1601,101,63.08557151780138
E01014616,Bristol 006A,Henleaze West,6.43,6.2,5.4,0.7,-0.9,41.7,1544,274,177.46113989637306
E01014617,Bristol 011B,West Broadway,1.3,2.8,2.8,0.3,-1.2,9.6,1410,48,34.04255319148936
E01014618,Bristol 011C,Henleaze North,2.41,1.6,3.4,0.1,-0.8,20.1,1654,65,39.29866989117291
E01014619,Bristol 017A,North View,7.36,5.5,5.7,0.6,-0.8,50.2,1494,72,48.19277108433735
E01014620,Bristol 011D,Henleaze South,2.96,3.2,5.1,0.5,-1.2,23.5,1681,56,33.31350386674598
E01014621,Bristol 017B,Westbury Park North,8.14,7.9,6.3,0.8,-0.9,44.6,1520,76,50.0
E01014622,Bristol 021A,Hillfields West,24.07,25.5,15.1,21.7,0.5,39.0,1805,149,82.54847645429362
E01014623,Bristol 021B,Mayfield Park,20.81,21.8,12.4,25.3,0.4,28.3,1816,153,84.2511013215859
E01014624,Bristol 018A,Lodge Hill,24.14,28.4,15.4,38.9,0.0,12.8,1790,92,51.39664804469274
E01014626,Bristol 021C,Speedwell,28.92,32.8,16.2,32.2,1.0,13.4,2790,321,115.05376344086021
E01014627,Bristol 021D,Chester Park,18.59,18.9,10.5,32.2,0.3,22.5,2227,264,118.54512797485405
E01014629,Bristol 018D,Hillfields North,29.47,34.1,17.3,40.5,0.5,12.0,1540,89,57.79220779220779
